group,method,location,loc_count
Sturgeon,TANKS,U.S. - Idaho,1
Tilapia,FRESHWATER NET PEN,Colombia,2
Tilapia,FRESHWATER NET PEN,Honduras,1
Tilapia,FRESHWATER NET PEN,Indonesia,1
Tilapia,FRESHWATER NET PEN,Mexico,1
Tilapia,INDOOR RECIRCULATING TANK (WITH WASTEWATER TREATMENT),Worldwide,3
Tilapia,INDOOR RECIRCULATING TANK (WITHOUT WASTEWATER TREATMENT),Worldwide,3
Tilapia,PONDS,China,3
Tilapia,PONDS,Ecuador,2
Tilapia,PONDS,Taiwan,6
Tilapia,RACEWAYS,Peru,1
Toothfish,LONGLINE (DEEP-SET),Chile - Southeast Pacific Ocean,1
Toothfish,LONGLINE (DEEP-SET),South Africa - Antarctic and Southern Indian Ocean: Prince Edward Islands,1
Triggerfish,DIVING,"U.S. - Puerto Rico, Western Central Atlantic Ocean",1
Triggerfish,DIVING,"U.S. - Virgin Islands, Western Central Atlantic Ocean",1
Triggerfish,DIVING,U.S. - Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico),1
Triggerfish,HANDLINES,U.S. - Western Central Atlantic Ocean (excluding U.S. Gulf of Mexico),1
Triggerfish,HANDLINES,U.S. - Western Central Atlantic Ocean: Gulf of Mexico,1
Triggerfish,HANDLINES AND HAND-OPERATED POLE-AND-LINES,"U.S. - Florida, Western Central Atlantic Ocean",1
Triggerfish,POTS,"U.S. - Puerto Rico, Western Central Atlantic Ocean",1
Triggerfish,POTS,"U.S. - Virgin Islands, Western Central Atlantic Ocean",1
Triggerfish,SET LONGLINES,"U.S. - Puerto Rico, Western Central Atlantic Ocean",1
Turbot,BOTTOM TRAWLS,"U.S. - Alaska, Northeast Pacific Ocean: Bering Sea (Greenland turbot trawl)",1
Turbot,INDOOR RECIRCULATING TANK (WITH WASTEWATER TREATMENT),Worldwide,1
Turbot,INDOOR RECIRCULATING TANK (WITHOUT WASTEWATER TREATMENT),Worldwide,1
Turbot,SET LONGLINES,"U.S. - Alaska, Northeast Pacific Ocean: Bering Sea (Greenland turbot longline)",1
